자치구,설치위치,운영관리
서울특별시 서대문구,"연희로248, 옥상",서대문구청
서울특별시 서대문구,"연희로248, 1층 정자",서대문구청
서울특별시 서대문구,서대문소방서 3층 테라스,서대문소방서
서울특별시 서대문구,"서소문로51, 1층",상수도사업본부
서울특별시 서대문구,"성산로20길 9, 4층 테라스",서대문우체국
서울특별시 서대문구,"성산로20길 9, 2층 실외",서대문우체국
서울특별시 서대문구,"성산로20길 9, 1층",서대문우체국
서울특별시 서대문구,"통일로113, 1층",서대문경찰서
서울특별시 서대문구,"통일로97, 1층",경찰청
서울특별시 서대문구,"충정로36, 1층",국민연금공단
서울특별시 서대문구,"충정로60, 1층",KT&G
서울특별시 서대문구,"충정로60, 1층",KT&G
서울특별시 서대문구,"연세로50-1, 장례식장1층",연세세브란스병원
서울특별시 서대문구,"경기대로44, 평생교육원 옥상",경기대학교
서울특별시 서대문구,"통일로37길 51, 1층",디지털서울문화예술대
서울특별시 서대문구,"가좌로134, 1층 체육관 옆",명지전문대
서울특별시 서대문구,명지대1층 기숙사 옆,명지대
서울특별시 서대문구,"신촌로197, 5층(외부)",한국방송예술진흥원
서울특별시 서대문구,KT가좌지사 1층 주차장,KT가좌지사
서울특별시 서대문구,지오영빌딩 1층 테라스,지오영빌딩
서울특별시 서대문구,영화의료기빌딩 옥상,영화의료기빌딩
서울특별시 서대문구,성공타워 옥상,성공타워
서울특별시 서대문구,진양빌딩 2층 외부,진양빌딩
서울특별시 서대문구,KT아현지사 1층 주차장,KT아현지사
서울특별시 서대문구,동아일보사 1층 주차장,동아일보
서울특별시 서대문구,충정빌딩 옥상,충정빌딩
서울특별시 서대문구,웨스트게이트타워 옥상,웨스트게이트타워
서울특별시 서대문구,골든브리지빌딩 지하1층 외부,골든브리지빌딩
서울특별시 서대문구,충정타워 지하1층,충정타워
서울특별시 서대문구,종근당빌딩 1층 테라스,종근당
서울특별시 서대문구,SK리쳄블 옥상,SK리쳄블
서울특별시 서대문구,대림통상 옥상,대림통상
서울특별시 서대문구,케이스퀘어 신촌빌딩 옥상,신촌빌딩
서울특별시 서대문구,백련빌딩 옥상,백련빌딩
서울특별시 서대문구,백상빌딩 옥상,백상빌딩
서울특별시 서대문구,유인빌딩 2층 외부,유인빌딩
서울특별시 서대문구,YBM옥상,YBM
서울특별시 서대문구,풍산빌딩 1층 화단 옆,풍산빌딩
서울특별시 서대문구,현대백화점 유플렉스 신촌점 옥상,현대백화점
서울특별시 서대문구,현대백화점 신촌점 옥상,현대백화점
